Molecule,TH2,TH4,TH5,TH7,TH1,TH3,TH6,TH8
PEO 16:0/16:1,1304.729401,693.8315307,1117.59113,527.4096986,714.2062381,1046.804875,452.403022,1037.875832
PEO 16:0/18:0,3680.07827,7709.492588,4484.403845,9037.332618,1864.796427,4405.559786,6200.401178,5081.430366
PEO 16:0/18:1,17400.60081,12078.68732,15148.54463,12148.23336,8025.794799,10471.82193,11083.83012,13072.50387
PEO 16:0/18:2,9489.5934,9173.221087,14679.69588,5320.10646,8707.17012,10494.6534,6302.145598,7254.75167
PEO 16:0/18:3,171.8475533,247.0675606,218.2420961,224.6776626,217.4898225,233.244225,294.6645541,321.4494639
PEO 16:0/20:1,5447.180051,4728.390614,5387.593511,4327.918646,3224.078859,4444.77857,4033.827488,5797.31459
PEO 16:0/20:2,1616.889532,2202.057032,2707.018969,1925.528934,1407.124171,1452.262453,2555.287415,1469.393202
PEO 16:0/20:3,6003.408923,2747.492399,6026.799866,3163.516335,4458.232852,4793.426508,5726.217561,3825.341042
PEO 16:0/20:4,33202.47462,22503.05252,32298.59297,18317.82635,38269.3288,34326.69747,24839.98445,23122.01603
PEO 16:0/20:5,3222.830553,1171.647554,4014.560484,736.9697201,4469.227022,3461.014632,2190.920266,3966.135706
PEO 16:0/22:4,100853.4388,84926.94791,101690.4513,99048.77669,86510.07139,89323.20876,117445.2326,96438.16811
PEO 16:0/22:5,25923.17167,20680.59107,21651.39827,22899.0726,22804.54056,17743.94081,26417.91141,19022.40651
PEO 16:0/22:6,12063.14714,9520.888342,9840.196162,8295.740246,9619.819658,9227.662841,9807.826823,9074.097676
PEO 18:0/16:0,5777.117868,5034.173355,9357.419768,5146.732781,3049.007639,6524.547133,3453.076292,5422.509125
PEO 18:0/16:1,255.2347967,2927.048977,22.13096382,1818.028301,1847.236611,2514.839504,1098.564179,2982.921893
PEO 18:0/18:0,2922.956938,2385.885022,2291.436213,2430.479152,1773.529356,2583.943137,1826.280158,2592.803505
PEO 18:0/18:1,36768.5744,44785.84715,58323.65025,33553.46601,29192.10753,36572.69834,30041.50781,38978.09874
PEO 18:0/18:2,84237.87111,90268.26698,119001.2721,52006.38441,71079.35281,119198.3868,58169.87942,66463.85994
PEO 18:0/18:3,,1268.754392,1607.378342,873.0349008,,1917.026465,709.604926,
PEO 18:0/20:1,1842.038181,2880.66191,3562.028838,1646.868612,2175.249677,2242.366314,1907.029045,2349.146283
PEO 18:0/20:2,,3287.26161,4068.962109,2612.054981,2289.026008,,1673.344707,2822.887723
PEO 18:0/20:3,18307.79885,20926.75325,25283.64865,19289.19383,15500.31527,17670.98172,18275.75204,20234.69821
PEO 18:0/20:4,107450.3644,122303.4986,196603.6289,148098.4044,132517.5547,185621.4559,152857.5325,183257.8155
PEO 18:0/20:5,3849.551401,2240.658345,5260.620717,2510.260347,4736.245106,4596.045382,3967.117632,4046.053337
PEO 18:0/22:4,4701.538052,5382.87215,6856.800927,6951.737133,4892.712919,4327.806076,6334.041733,6687.758222
PEO 18:0/22:5,84092.94521,88647.39615,97850.08419,73254.4376,66423.68164,55814.46446,83215.07074,99068.86448
PEO 18:0/22:6,57120.42886,69267.27444,70218.88536,52851.96241,59679.15549,57655.50404,57653.97791,75134.34755
PEP 14:0/18:0,666.8370105,425.321162,6641.435052,2233.209964,542.9192241,641.223764,873.4694829,2709.181604
PEP 14:0/18:1,2920.01532,2529.583022,4219.860131,3712.86789,2092.07591,3052.992402,3159.898635,3435.802293
PEP 16:0/16:0,2099.170154,5167.370003,2689.379383,3798.126568,2144.428575,3812.428794,1992.366698,6818.190622
PEP 16:0/16:1,3004.490993,495.4695869,3546.007039,808.7472745,3711.865434,3071.966799,2616.609607,2450.183953
PEP 16:0/18:0,1249.547477,1021.489927,310.6115356,1094.669987,531.6949823,915.616734,872.1838967,1987.947002
PEP 16:0/18:1,72092.06031,11589.7088,69708.24051,12196.07446,60082.5737,51924.88395,42877.01799,45462.45159
PEP 16:0/18:2,31013.76524,6007.671963,35422.97961,5871.149553,32854.23534,21677.03897,20333.00858,15084.11484
PEP 16:0/18:3,414.270138,197.8694951,461.9913152,225.2229285,721.852813,605.3498124,295.1272804,305.7540831
PEP 16:0/20:1,13081.58612,2388.428649,12301.22903,3534.946905,12623.92137,11326.57439,8855.650941,8836.948148
PEP 16:0/20:2,10161.39983,2161.484694,11838.0329,2830.645745,9973.423693,8569.668003,6852.362307,6378.003457
PEP 16:0/20:3,47441.7949,8096.996346,49062.79154,11178.27069,47503.39852,39477.39028,27798.14465,30652.13913
PEP 16:0/20:4,383617.7136,74194.35293,402478.7979,104017.8795,536366.9616,391333.4689,256996.7736,307305.7711
PEP 16:0/20:5,943.1071916,398.1887794,374.7810498,253.9399984,1593.202563,505.6817311,249.2841963,584.0788025
PEP 16:0/22:4,318841.7631,54483.1572,320655.417,90422.54867,419740.4062,299435.8297,259499.4607,266912.9912
PEP 16:0/22:5,71150.96028,11708.55744,61607.00705,17913.51333,91613.85198,53379.15204,45254.02986,49059.71745
